sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Fixings,,,,,,FALSE,,,,0.72,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Fixings,,,,,,FALSE,,,,0.85,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Fixings,,,,,,TRUE,timber fixing base plated,,,9.96,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
DB-PH3,AIRE Phillips #3 driver bit; suits a variety of Phillips-head screws used in AIRE balustrade installation.,Fixings,,,,,,,,,,2.85,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-PH3.JPG,
DB-SQ3.4,AIRE square-head driver bit (SQ3.4); suits the square-drive panhead and picket screws used in AIRE balustrade installation.,Fixings,,,,,,,,,,3.6,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-SQ3.4.JPG,
GROUT-SETFAST-10KG,Fast Setting Pourable Grout - 10kg bag,Fixings,,,,,,TRUE,core dilled posts,,,45.4,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-SETFAST-10KG.JPG,
GS-DN-4PK,M12 DOME NUT with WASHER - SS316 - 4pk,Fixings,,,,,,,,,,3.15,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk.JPG,
GS-DN-4PK-B,M12 DOME NUT with WASHER - BLACK - 4pk,Fixings,,,,,,,,,,6.11,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk-b.JPG,
GS093LAG,93mm LAG Screw - M12,Fixings,,,,,,,,,,3.55,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs093lag.JPG,
GS1000ROD,1000mm THREADED ROD - M12,Fixings,,,,,,,,,,16.9,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs1000rod.JPG,
GS115LAG,115mm LAG Screw - M12,Fixings,,,,,,,,,,3.7,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs115lag.JPG,
GS120ROD,120mm TREADED ROD - M12,Fixings,,,,,,,,,,1.85,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs120rod.JPG,
GS125LAG,125mm LAG Screw - M12,Fixings,,,,,,,,,,3.55,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GS125LAG.JPG,
GS150ROD,150mm TREADED ROD - M12,Fixings,,,,,,,Concrete Fixing,,,2.15,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs150rod.JPG,
GS160LAG,160mm LAG Screw - M12,Fixings,,,,,,,Timber Fixing,,,6,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GS160LAG.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Fixings,,,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
S-120ROD-4PK,"M10 x 120mm concrete threaded rods in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to concrete via chemical anchor.",Fixings,,,,,,TRUE,Side mount post for concrete,,,10.6,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-120ROD-4PK.JPG,
S-M10DN-4PK,M10 DOME NUT with WASHER - SS316 - 4pk,Fixings,,,,,,TRUE,pair with side mount post fixings 4x per 4 pack,,,2.65,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/s-m10dn-4pk.JPG,
SOUD-CA1400,Soudal CA1400 Chemical Anchor — 400ml,Fixings,,,,,,,,,,29.85,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SOUD-CA1400.jpg,
SS-TS-100-B,"Six Star self-drilling tek screws, 100-pack in black painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings,,,,,,FALSE,,,,15.9,balustrade-metal-blade-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ss-ts-100-b.JPG,
BLA-PNL-1700-1000-B,"Blade boundary fence panel, 1700mm wide x 1000mm high, in matt black aluminium blade construction — not pool-fence rated.",Blade Panels,,,,,,,,,,282.1,balustrade-metal-blade-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BLA-PNL-1700-1000-B.JPG,
FF-BH-OPEN-4PK-B,"FastFit open bracket 40 x 40mm in matt black, attaches Blade balustrade panels to posts, sold as 4-pack with 13 tek screws.",Post Brackets,,,,,,TRUE,panel brackets 4 pack,,,16.65,balustrade-metal-blade-post-brackets,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ff-bh-open-4pk-b.JPG,
AR-1050-FPBP-B,"AIRE 1050mm high 50 x 50mm post with welded 100 x 100mm base plate, Black finish; surface-mount post for top-of-deck or top-of-slab AIRE balustrade installations.",Posts,,,,,,,,,,58.5,balustrade-metal-blade-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1050-FPBP-B.JPG,
AR-1500-FMID-B,"BARR face-mount mid post, 1500mm long in matt black aluminium with welded 150x150mm 10mm plate — cut to height on site (max 1350mm per engineering), top plate included",Posts,,,,,,TRUE,side mount post mid post,,,70.2,balustrade-metal-blade-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMID-B.JPG,
AR-1500-FMLR-B-2PK,"Premium Perf face-mount end posts in satin black aluminium — 1500mm long left + right pair with offset 160x150mm plates for absolute end-of-run installs, max 1350mm per engineering.",Posts,,,,,,TRUE,side mount post l&r pack,,,151.1,balustrade-metal-blade-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-1500-FMLR-B-2PK.JPG,
AR-5800-FP-B,"AIRE 5800mm long 50 x 50 x 3.2mm full post in Black finish; structural post for core-drilled or fascia-fixed AIRE balustrade installations, cut to required length on site.",Posts,,,,,,,,,,164.65,balustrade-metal-blade-posts,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/AR-5800-FP-B.JPG,
