sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
VIS-1200-BAL-W-4PK,"Visor 50 x 10mm aluminium baluster, 1200mm high, 4-pack in pearl matt white, made from alloy 6063 T6 with 2 screw flutes and rigidity ribs.",Deck Mount,Baluster 1200mm,,,,,,,,,78.55,balustrade-metal-visor-deck-mount-baluster-1200mm,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-1200-BAL-W-4PK.JPG,
VIS-6100-BAL-B,"Visor 50 x 10mm aluminium baluster, 6100mm long in matt black, cut on site to required baluster lengths.",Deck Mount,Baluster 6100mm,,,,,,,,,82.3,balustrade-metal-visor-deck-mount-baluster-6100mm,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-BAL-B.JPG,
VIS-6100-BAL-M,"Visor 50 x 10mm aluminium baluster, 6100mm long in mill (ready to powder coat), cut on site to required baluster lengths.",Deck Mount,Baluster 6100mm,,,,,,,,,69.6,balustrade-metal-visor-deck-mount-baluster-6100mm,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-BAL-M.JPG,
VIS-6100-BAL-W,"Visor 50 x 10mm aluminium baluster, 6100mm long in pearl matt white, cut on site to required baluster lengths.",Deck Mount,Baluster 6100mm,,,,,,,,,82.3,balustrade-metal-visor-deck-mount-baluster-6100mm,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-BAL-W.JPG,
VIS-4000-DECK-B,"Visor aluminium deck-mount T profile, 4000mm long in matt black, pre-machined for 40 balusters at 100mm centres (90mm gaps).",Deck Mount,Base,,,,,,,,,301.05,balustrade-metal-visor-deck-mount-base,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-DECK-B.JPG,
VIS-4000-DECK-M,"Visor aluminium deck-mount T profile, 4000mm long in mill (ready to powder coat), pre-machined for 40 balusters at 100mm centres (90mm gaps).",Deck Mount,Base,,,,,,,,,288.95,balustrade-metal-visor-deck-mount-base,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-DECK-M.JPG,
VIS-4000-DECK-W,"Visor aluminium deck-mount T profile, 4000mm long in pearl matt white, pre-machined for 40 balusters at 100mm centres (90mm gaps).",Deck Mount,Base,,,,,,,,,301.05,balustrade-metal-visor-deck-mount-base,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-DECK-W.JPG,
VIS-DMEP-B-2PK,"Visor T-shape deck-mount end plates 2-pack in matt black, close off exposed ends of the deck-mount base profile (left + right).",Deck Mount,End Plates,,,,,,,,,7.21,balustrade-metal-visor-deck-mount-end-plates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-DMEP-B-2PK.JPG,
VIS-DMEP-M-2PK,"Visor T-shape deck-mount end plates 2-pack in mill (ready to powder coat), close off exposed ends of the deck-mount base profile (left + right).",Deck Mount,End Plates,,,,,,,,,6.6,balustrade-metal-visor-deck-mount-end-plates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-DMEP-M-2PK.JPG,
VIS-DMEP-W-2PK,"Visor T-shape deck-mount end plates 2-pack in pearl matt white, close off exposed ends of the deck-mount base profile (left + right).",Deck Mount,End Plates,,,,,,,,,7.21,balustrade-metal-visor-deck-mount-end-plates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-DMEP-W-2PK.JPG,
VIS-SCR-BAL-50PK,"Visor 12g x 50mm SS304 panhead screw, 50-pack, used for screwing the baluster from the underside of the base rail (2 per baluster).",Deck Mount,Fixings,Base Screws Baluster,,,,,,,,10.85,balustrade-metal-visor-deck-mount-fixings-base-screws-baluster,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-SCR-BAL-50PK.JPG,
VIS-SCR-CSK-50PK,"Visor 8g x 25mm SS304 countersunk phillips screw in mill finish, 50-pack, used for end plate, wall bracket and offset bracket fixings.",Deck Mount,Fixings,End Cap Screws,,,,,,,,4.8,balustrade-metal-visor-deck-mount-fixings-end-cap-screws,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-SCR-CSK-50PK.JPG,
VIS-SCR-CSK-50PK-B,"Visor 8g x 25mm SS304 countersunk phillips screw with matt black head, 50-pack, used for end plate, wall bracket and offset bracket fixings.",Deck Mount,Fixings,End Cap Screws,,,,,,,,6,balustrade-metal-visor-deck-mount-fixings-end-cap-screws,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-SCR-CSK-50PK-B.JPG,
VIS-SCR-CSK-50PK-W,"Visor 8g x 25mm SS304 countersunk phillips screw with pearl matt white head, 50-pack, used for end plate, wall bracket and offset bracket fixings.",Deck Mount,Fixings,End Cap Screws,,,,,,,,6,balustrade-metal-visor-deck-mount-fixings-end-cap-screws,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-SCR-CSK-50PK-W.JPG,
VIS-SCR-SIDEBAL-50PK,"Visor 14g x 50mm SS304 panhead screw, 50-pack, used for sideways baluster fixings and top friction-plate-to-baluster fixings.",Deck Mount,Fixings,Side Screws Baluster,,,,,,,,10.85,balustrade-metal-visor-deck-mount-fixings-side-screws-baluster,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-SCR-SIDEBAL-50PK.JPG,
VIS-EP-B,"Visor 70 x 23mm handrail end plate in matt black, mechanically fixes to the undercapping plate to terminate the handrail.",Deck Mount,Handrail,End Cap,,,,,,,,4.8,balustrade-metal-visor-deck-mount-handrail-end-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-EP-B.JPG,
VIS-EP-M,"Visor 70 x 23mm handrail end plate in mill (ready to powder coat), mechanically fixes to the undercapping plate to terminate the handrail.",Deck Mount,Handrail,End Cap,,,,,,,,3.6,balustrade-metal-visor-deck-mount-handrail-end-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-EP-M.JPG,
VIS-EP-W,"Visor 70 x 23mm handrail end plate in pearl matt white, mechanically fixes to the undercapping plate to terminate the handrail.",Deck Mount,Handrail,End Cap,,,,,,,,4.8,balustrade-metal-visor-deck-mount-handrail-end-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-EP-W.JPG,
VIS-3050-INS-2PK,"Visor aluminium friction insert, 3050mm long, 2-pack (6100mm total) in clear anodised, mates with the slotted undercapping plate to grip the balusters by friction.",Deck Mount,Handrail,Friction Insert,,,,,,,,30.2,balustrade-metal-visor-deck-mount-handrail-friction-insert,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-3050-INS-2PK.JPG,
VIS-J-M,"Visor inline aluminium joiner 400 x 40 x 1.2mm in mill, fits on top of the friction insert at undercapping-plate joins for run rigidity.",Deck Mount,Handrail,Joiner,,,,,,,,10.85,balustrade-metal-visor-deck-mount-handrail-joiner,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-J-M.JPG,
VIS-J90-M,"Visor 90° aluminium corner joiner 200 x 200 x 1.2mm in mill, fits on top of the friction insert at 90° corners for handrail rigidity.",Deck Mount,Handrail,Joiner,,,,,,,,10.85,balustrade-metal-visor-deck-mount-handrail-joiner,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-J90-M.JPG,
VIS-6100-HRAIL-B,"Visor 70 x 23mm aluminium handrail, 6100mm long in matt black, snaps over the undercapping plate to finish the run.",Deck Mount,Handrail,Top Cap,,,,,,,,100.05,balustrade-metal-visor-deck-mount-handrail-top-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-HRAIL-B.JPG,
VIS-6100-HRAIL-M,"Visor 70 x 23mm aluminium handrail, 6100mm long in mill (ready to powder coat), snaps over the undercapping plate to finish the run.",Deck Mount,Handrail,Top Cap,,,,,,,,93.7,balustrade-metal-visor-deck-mount-handrail-top-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-HRAIL-M.JPG,
VIS-6100-HRAIL-W,"Visor 70 x 23mm aluminium handrail, 6100mm long in pearl matt white, snaps over the undercapping plate to finish the run.",Deck Mount,Handrail,Top Cap,,,,,,,,100.05,balustrade-metal-visor-deck-mount-handrail-top-cap,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-6100-HRAIL-W.JPG,
VIS-WB-B,"Visor 63 x 20mm aluminium wall/post bracket in matt black, mechanically fixes the undercapping plate to a wall or post for handrail termination.",Deck Mount,Handrail,Wall Tie Concealed,,,,,,,,6,balustrade-metal-visor-deck-mount-handrail-wall-tie-concealed,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-WB-B.JPG,
VIS-WB-M,"Visor 63 x 20mm aluminium wall/post bracket in mill (ready to powder coat), mechanically fixes the undercapping plate to a wall or post for handrail termination.",Deck Mount,Handrail,Wall Tie Concealed,,,,,,,,4.8,balustrade-metal-visor-deck-mount-handrail-wall-tie-concealed,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-WB-M.JPG,
VIS-WB-W,"Visor 63 x 20mm aluminium wall/post bracket in pearl matt white, mechanically fixes the undercapping plate to a wall or post for handrail termination.",Deck Mount,Handrail,Wall Tie Concealed,,,,,,,,6,balustrade-metal-visor-deck-mount-handrail-wall-tie-concealed,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-WB-W.JPG,
VIS-BRACKET-B-2PK,"Visor aluminium offset bracket 2-pack in matt black, caps over the handrail end and fixes off to a wall/post (left + right per pack).",Deck Mount,Handrail,Wall Tie Offset,,,,,,,,18.1,balustrade-metal-visor-deck-mount-handrail-wall-tie-offset,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-BRACKET-B-2PK.JPG,
VIS-BRACKET-M-2PK,"Visor aluminium offset bracket 2-pack in mill (ready to powder coat), caps over the handrail end and fixes off to a wall/post (left + right per pack).",Deck Mount,Handrail,Wall Tie Offset,,,,,,,,15.65,balustrade-metal-visor-deck-mount-handrail-wall-tie-offset,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-BRACKET-M-2PK.JPG,
VIS-BRACKET-W-2PK,"Visor aluminium offset bracket 2-pack in pearl matt white, caps over the handrail end and fixes off to a wall/post (left + right per pack).",Deck Mount,Handrail,Wall Tie Offset,,,,,,,,18.1,balustrade-metal-visor-deck-mount-handrail-wall-tie-offset,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-BRACKET-W-2PK.JPG,
VIS-4942-PLATE-R-B,"Visor aluminium raked top plate, 4942mm long in matt black, suits 34–37° stair installs with 39 elongated holes at 123.5mm centres.",Deck Mount,Raked,,,,,,,,,90.65,balustrade-metal-visor-deck-mount-raked,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4942-PLATE-R-B.JPG,
VIS-4942-PLATE-R-M,"Visor aluminium raked top plate, 4942mm long in mill (ready to powder coat), suits 34–37° stair installs with 39 elongated holes at 123.5mm centres.",Deck Mount,Raked,,,,,,,,,78.55,balustrade-metal-visor-deck-mount-raked,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4942-PLATE-R-M.JPG,
VIS-4942-PLATE-R-W,"Visor aluminium raked top plate, 4942mm long in pearl matt white, suits 34–37° stair installs with 39 elongated holes at 123.5mm centres.",Deck Mount,Raked,,,,,,,,,90.65,balustrade-metal-visor-deck-mount-raked,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4942-PLATE-R-W.JPG,
VIS-4000-COV-DECK-B,"Visor aluminium deck-mount side cover, 4000mm long in matt black, taps into the deck-mount base to conceal the side fixings.",Deck Mount,Side Cover,,,,,,,,,21.7,balustrade-metal-visor-deck-mount-side-cover,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-COV-DECK-B.JPG,
VIS-4000-COV-DECK-M,"Visor aluminium deck-mount side cover, 4000mm long in mill (ready to powder coat), taps into the deck-mount base to conceal the side fixings.",Deck Mount,Side Cover,,,,,,,,,18.1,balustrade-metal-visor-deck-mount-side-cover,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-COV-DECK-M.JPG,
VIS-4000-COV-DECK-W,"Visor aluminium deck-mount side cover, 4000mm long in pearl matt white, taps into the deck-mount base to conceal the side fixings.",Deck Mount,Side Cover,,,,,,,,,21.7,balustrade-metal-visor-deck-mount-side-cover,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/VIS-4000-COV-DECK-W.JPG,
