sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,,,,,,FALSE,,,,0.72,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,,,,,,FALSE,,,,0.85,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Fixings & Grout,,,,,,TRUE,timber fixing base plated,,,9.96,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
GROUT-BOS,BOSTIK Grout HES - 20Kg Bag,Fixings & Grout,,,,,,FALSE,,,,72.2,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-BOS.JPG,
GROUT-SETFAST-10KG,Fast Setting Pourable Grout - 10kg bag,Fixings & Grout,,,,,,TRUE,core dilled posts,,,45.4,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-SETFAST-10KG.JPG,
GROUT-SIKA,Sika Grout HES - 20Kg Bag,Fixings & Grout,,,,,,FALSE,,,,64.96,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/grout-sika.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Fixings & Grout,,,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
S-120ROD-4PK,"M10 x 120mm concrete threaded rods in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to concrete via chemical anchor.",Fixings & Grout,,,,,,TRUE,Side mount post for concrete,,,10.6,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-120ROD-4PK.JPG,
S-M10DN-4PK,M10 DOME NUT with WASHER - SS316 - 4pk,Fixings & Grout,,,,,,TRUE,pair with side mount post fixings 4x per 4 pack,,,2.65,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/s-m10dn-4pk.JPG,
SS-TS-100-B,"Six Star self-drilling tek screws, 100-pack in black painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings & Grout,,,,,,FALSE,,,,15.9,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ss-ts-100-b.JPG,
SS-TS-100-W,"Six Star self-drilling tek screws, 100-pack in white painted finish — colour-matched fixings for tubular pool-fence brackets, shrouds and gate hardware.",Fixings & Grout,,,,,,FALSE,,,,15.9,pool-fencing-metal-barr-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-TS-100-W.JPG,
BR-1200-GC-2PK-B,"BARR 1200H gate converter, 2-pack in black — convert a panel offcut into a custom-width pool-fence gate.",Gates,,,,,,,,,,144.75,pool-fencing-metal-barr-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-1200-GC-2PK-B.JPG,
BR-1200-GC-2PK-W,"BARR 1200H gate converter, 2-pack in white — convert a panel offcut into a custom-width pool-fence gate.",Gates,,,,,,,,,,144.75,pool-fencing-metal-barr-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-1200-GC-2PK-W.JPG,
BR-GATE-0975-1200-B,"BARR standard pool-fence gate, 975 × 1200mm in black — AS1926.1 with self-closing hinges and a compliant latch.",Gates,,,,,,,,,,194.95,pool-fencing-metal-barr-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-GATE-0975-1200-B.JPG,
BR-GATE-0975-1200-W,"BARR standard pool-fence gate, 975 × 1200mm in white — AS1926.1 with self-closing hinges and a compliant latch.",Gates,,,,,,,,,,194.95,pool-fencing-metal-barr-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-GATE-0975-1200-W.JPG,
KF-H-FT,"D&D KwikFit™ polymer hinge SET with FIXED tension (factory pre-set, no field adjustment).",Hinges & Latches,,,,,,FALSE,,,,19.1,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/KF-H-FT.JPG,
ML-TL-KF-H-FT,D&D MagnaLatch Top Pull + KwikFit Fixed Tension hinge KIT — complete pool gate hardware (latch + hinge pair).,Hinges & Latches,,,,,,FALSE,,,,93.45,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ML-TL-KF-H-FT.JPG,
ML-TL-TC-H-AT,"D&D premium hinge + latch set for aluminium flat-top pool gates — Magna Latch top-pull and matched Tru-Close self-closing hinges, AS1926.1-2012 compliant.",Hinges & Latches,,,,,,TRUE,Hinge & Latch kit for monument and black ,,,115.95,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ML-TL-TC-H-AT.JPG,
ML-TL-W,"D&D MagnaLatch® Top Pull Series 3 in WHITE — magnetic safety gate latch, key-lockable.",Hinges & Latches,,,,,,TRUE,Latch for white panels to be bundled with white hinges,,,174.68,pool-fencing-metal-barr-hinges-and-latches,,
SOLAR-LIGHT-2PK,"Solar LED lights for pool fence rails and stair edges, 2-pack — dusk-to-dawn auto-on lighting for pool surrounds and outdoor stairways.",Hinges & Latches,,,,,,,,,,10.6,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SOLAR-LIGHT-2PK.JPG,
SS-GS,D&D gate stop — stainless steel stop bracket that prevents a gate over-swinging into the latch and protects the latch alignment.,Hinges & Latches,,,,,,,,,,15,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-GS.JPG,
TC-H-AT-2L-B,D&D TruClose® Adjustable Tension hinge with 2 alignment legs in BLACK — hinge pair.,Hinges & Latches,,,,,,,,,,45.71,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-2L-B.JPG,
TC-H-AT-2L-W,D&D TruClose® Adjustable Tension hinge with 2 alignment legs in WHITE — hinge pair.,Hinges & Latches,,,,,,TRUE,Hinges to we used on white panels and bundled with white latch,,,51.7,pool-fencing-metal-barr-hinges-and-latches,,
TC-H-AT-B,D&D TruClose® Adjustable Tension hinge NO LEGS in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,44.85,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-B.JPG,
TC-H-AT-HD-2L-B,D&D TruClose® HEAVY DUTY Adjustable hinge with 2 alignment legs in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-2L-B.JPG,
TC-H-AT-HD-B,D&D TruClose® HEAVY DUTY hinge with 1 alignment leg in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-barr-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-B.JPG,
BR-PANEL-2205-1200-B,"BARR balustrade panel, 2205mm wide x 1200mm high, in matt black aluminium — the tall face-mount variant for the 'floating batten' look, also pool fence compliant",Barr Panels,,,,,,,,,,295.75,pool-fencing-metal-barr-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-PANEL-2205-1200-b.JPG,
BR-PANEL-2205-1200-W,"BARR balustrade panel, 2205mm wide x 1200mm high, in pearl white aluminium — the tall face-mount variant for the 'floating batten' look, also pool fence compliant",Barr Panels,,,,,,,,,,295.75,pool-fencing-metal-barr-panels,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-PANEL-2205-1200-W.JPG,
BR-BR25-B-4PK,"BARR 25mm slimline 'C' bracket kit, 4-pack in black — fixes one panel to posts, screws included.",Post Brackets,,,,,,,,,,13.95,pool-fencing-metal-barr-post-brackets,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-BR25-B-4PK.JPG,
BR-BR25-W-4PK,"BARR 25mm slimline 'C' bracket kit, 4-pack in white — fixes one panel to posts, screws included.",Post Brackets,,,,,,,,,,13.95,pool-fencing-metal-barr-post-brackets,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/BR-BR25-W-4PK.JPG,
