sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
GROUT-BOS,BOSTIK Grout HES - 20Kg Bag,Fixings & Grout,,,,,,FALSE,,,,72.2,pool-fencing-metal-pik-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-BOS.JPG,
GROUT-SETFAST-10KG,Fast Setting Pourable Grout - 10kg bag,Fixings & Grout,,,,,,TRUE,core dilled posts,,,45.4,pool-fencing-metal-pik-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GROUT-SETFAST-10KG.JPG,
GROUT-SIKA,Sika Grout HES - 20Kg Bag,Fixings & Grout,,,,,,FALSE,,,,64.96,pool-fencing-metal-pik-fixings-and-grout,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/grout-sika.JPG,
PIK-GATE-0975-1200-B,"PIK pedestrian gate, 975mm W x 1200mm H in satin black powder-coated aluminium — 40x40mm frame with 32mm round balusters at 80mm centres, AS 1926.1 pool fence compliant.",Gates,,,,,,,,,,215.14,pool-fencing-metal-pik-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/pik-gate-0975-1200-b.JPG,
PIK-GATE-0975-1200-W,"PIK pedestrian gate, 975mm W x 1200mm H in pearl white powder-coated aluminium — 40x40mm frame with 32mm round balusters at 80mm centres, AS 1926.1 pool fence compliant.",Gates,,,,,,,,,,215.14,pool-fencing-metal-pik-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-GATE-0975-1200-W.JPG,
PIK-GATEKIT-B,"PIK gate kit in satin black aluminium — 2x 40x40mm profiles 1257mm long, 2 top caps, 2 domical covers, 6 self-tap screws and a drill bit; converts adjacent end pickets into hinge/latch posts.",Gates,,,,,,,,,,82.6,pool-fencing-metal-pik-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-GATEKIT-B.JPG,
PIK-GATEKIT-W,"PIK gate kit in pearl white aluminium — 2x 40x40mm profiles 1257mm long, 2 top caps, 2 domical covers, 6 self-tap screws and a drill bit; converts adjacent end pickets into hinge/latch posts.",Gates,,,,,,,,,,82.6,pool-fencing-metal-pik-gates,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/pik-gatekit-w.JPG,
KF-H-FT,"D&D KwikFit™ polymer hinge SET with FIXED tension (factory pre-set, no field adjustment).",Hinges & Latches,,,,,,FALSE,,,,19.1,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/KF-H-FT.JPG,
ML-TL-TC-H-AT,"D&D premium hinge + latch set for aluminium flat-top pool gates — Magna Latch top-pull and matched Tru-Close self-closing hinges, AS1926.1-2012 compliant.",Hinges & Latches,,,,,,TRUE,Hinge & Latch kit for monument and black ,,,115.95,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/ML-TL-TC-H-AT.JPG,
ML-TL-W,"D&D MagnaLatch® Top Pull Series 3 in WHITE — magnetic safety gate latch, key-lockable.",Hinges & Latches,,,,,,TRUE,Latch for white panels to be bundled with white hinges,,,174.68,pool-fencing-metal-pik-hinges-and-latches,,
SOLAR-LIGHT-2PK,"Solar LED lights for pool fence rails and stair edges, 2-pack — dusk-to-dawn auto-on lighting for pool surrounds and outdoor stairways.",Hinges & Latches,,,,,,,,,,10.6,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SOLAR-LIGHT-2PK.JPG,
SS-GS,D&D gate stop — stainless steel stop bracket that prevents a gate over-swinging into the latch and protects the latch alignment.,Hinges & Latches,,,,,,,,,,15,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/SS-GS.JPG,
TC-H-AT-2L-B,D&D TruClose® Adjustable Tension hinge with 2 alignment legs in BLACK — hinge pair.,Hinges & Latches,,,,,,,,,,45.71,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-2L-B.JPG,
TC-H-AT-2L-W,D&D TruClose® Adjustable Tension hinge with 2 alignment legs in WHITE — hinge pair.,Hinges & Latches,,,,,,TRUE,Hinges to we used on white panels and bundled with white latch,,,51.7,pool-fencing-metal-pik-hinges-and-latches,,
TC-H-AT-B,D&D TruClose® Adjustable Tension hinge NO LEGS in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,44.85,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-B.JPG,
TC-H-AT-HD-2L-B,D&D TruClose® HEAVY DUTY Adjustable hinge with 2 alignment legs in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-2L-B.JPG,
TC-H-AT-HD-B,D&D TruClose® HEAVY DUTY hinge with 1 alignment leg in BLACK — hinge set.,Hinges & Latches,,,,,,,,,,62.55,pool-fencing-metal-pik-hinges-and-latches,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/TC-H-AT-HD-B.JPG,
PIK-BASEJOINER-5PK,"PIK base joiner in black nylon, 5-pack — clips across 4 pickets to keep adjacent panels aligned during install, can stay buried in grout.",Panel Accessories,,,,,,,,,,16.65,pool-fencing-metal-pik-panel-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-BASEJOINER-5PK.JPG,
PIK-BASEPLUG-B-10PK,"PIK base plate plug in matt black UV-stable plastic, 10-pack — 18.8 x 12.8mm oval shape, fills unused fixing holes in the PIK plinth for a flush finish.",Panel Accessories,,,,,,,,,,4.25,pool-fencing-metal-pik-panel-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-BASEPLUG-B-10PK.JPG,
PIK-BASEPLUG-W-10PK,"PIK base plate plug in pearl white UV-stable plastic, 10-pack — 18.8 x 12.8mm oval shape, fills unused fixing holes in the PIK plinth for a flush finish.",Panel Accessories,,,,,,,,,,4.25,pool-fencing-metal-pik-panel-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-BASEPLUG-W-10PK.JPG,
PIK-DR-B,"PIK dress ring in matt black powder-coated aluminium — 33.5mm ID / 50mm OD / 2mm thick, conceals the core-drilled hole at the base of an individual PIK picket.",Panel Accessories,,,,,,,,,,1.42,pool-fencing-metal-pik-panel-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-DR-B.JPG,
PIK-DR-W,"PIK dress ring in pearl white powder-coated aluminium — 33.5mm ID / 50mm OD / 2mm thick, conceals the core-drilled hole at the base of an individual PIK picket.",Panel Accessories,,,,,,,,,,1.42,pool-fencing-metal-pik-panel-accessories,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/PIK-DR-W.JPG,
