sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.72,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Fixings & Grout,Fixings,,,,,FALSE,,,,0.85,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Fixings & Grout,Fixings,,,,,TRUE,timber fixing base plated,,,9.96,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
DB-PH3,AIRE Phillips #3 driver bit; suits a variety of Phillips-head screws used in AIRE balustrade installation.,Fixings & Grout,Fixings,,,,,,,,,2.85,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-PH3.JPG,
DB-SQ3.4,AIRE square-head driver bit (SQ3.4); suits the square-drive panhead and picket screws used in AIRE balustrade installation.,Fixings & Grout,Fixings,,,,,,,,,3.6,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-SQ3.4.JPG,
GS-DN-4PK,M12 DOME NUT with WASHER - SS316 - 4pk,Fixings & Grout,Fixings,,,,,,,,,3.15,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk.JPG,
GS-DN-4PK-B,M12 DOME NUT with WASHER - BLACK - 4pk,Fixings & Grout,Fixings,,,,,,,,,6.11,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk-b.JPG,
GS093LAG,93mm LAG Screw - M12,Fixings & Grout,Fixings,,,,,,,,,3.55,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs093lag.JPG,
GS1000ROD,1000mm THREADED ROD - M12,Fixings & Grout,Fixings,,,,,,,,,16.9,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs1000rod.JPG,
GS115LAG,115mm LAG Screw - M12,Fixings & Grout,Fixings,,,,,,,,,3.7,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs115lag.JPG,
GS120ROD,120mm TREADED ROD - M12,Fixings & Grout,Fixings,,,,,,,,,1.85,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs120rod.JPG,
GS125LAG,125mm LAG Screw - M12,Fixings & Grout,Fixings,,,,,,,,,3.55,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GS125LAG.JPG,
GS150ROD,150mm TREADED ROD - M12,Fixings & Grout,Fixings,,,,,,Concrete Fixing,,,2.15,pool-fencing-metal-flat-top-tubular-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs150rod.JPG,
