sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
1000FBG-0300,"15mm frameless balustrade glass panel, 300mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,31.2,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0300.png,
1000FBG-0350,"15mm frameless balustrade glass panel, 350mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,36.45,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0350.png,
1000FBG-0400,"15mm frameless balustrade glass panel, 400mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,41.65,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0400.png,
1000FBG-0450,"15mm frameless balustrade glass panel, 450mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,46.9,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0450.png,
1000FBG-0500,"15mm frameless balustrade glass panel, 500mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,52,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0500.png,
1000FBG-0550,"15mm frameless balustrade glass panel, 550mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,57.26,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0550.png,
1000FBG-0600,"15mm frameless balustrade glass panel, 600mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,62.45,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0600.png,
1000FBG-0650,"15mm frameless balustrade glass panel, 650mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,67.71,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0650.png,
1000FBG-0700,"15mm frameless balustrade glass panel, 700mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,72.9,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0700.png,
1000FBG-0750,"15mm frameless balustrade glass panel, 750mm W x 1000mm H — toughened, heat-soaked, polished edges with 3mm radius corners.",Glass,15mm Glass,,,,,TRUE,Standard Panels,,,78.05,balustrade-glass-channel-15mm-15mm-glass,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/1000FBG-0750.png,
