sku,description,subcat_1,subcat_2,subcat_3,subcat_4,subcat_5,subcat_6,calc_include,calslot_1,calslot_2,calslot_3,retail_price_inc_gst,category_slug,image_url,Notes
GLOVE,"Pair of safety gloves in size M/L — cut-resistant gloves for handling glass panels, stainless edges and steel pickets.",,,,,,,,,,,9.2,balustrade-glass-spigots-15mm,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GLOVE.JPG,
MADDEL-HDC-B,Madrid Deluxe high domical cover in Matt Black.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,10.95,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-HDC-B.JPG,
MADDEL-HDC-MW,Madrid Deluxe high domical cover in Matt White.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,11,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-HDC-MW.JPG,
MADDEL-HDC-P,Madrid Deluxe high domical cover in Polished.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,8.4,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-HDC-P.JPG,
MADDEL-HDC-S,Madrid Deluxe high domical cover in Satin.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,8.4,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-HDC-S.JPG,
MADDEL-SBP-B,Madrid Deluxe base-plated spigot in Matt Black — SS2205 surface-mount heavy-duty balustrade spigot.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,91.55,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SBP-B.JPG,
MADDEL-SBP-MW,Madrid Deluxe base-plated spigot in Matt White — SS2205 surface-mount heavy-duty balustrade spigot.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,96.7,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SBP-MW.JPG,
MADDEL-SBP-P,Madrid Deluxe base-plated spigot in Polished — SS2205 surface-mount heavy-duty balustrade spigot.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,76.15,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SBP-P.JPG,
MADDEL-SBP-S,Madrid Deluxe base-plated spigot in Satin — SS2205 surface-mount heavy-duty balustrade spigot.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,76.15,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SBP-S.JPG,
MADDEL-SDC-B,Madrid Deluxe slim domical cover in Matt Black.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,9.1,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SDC-B.JPG,
MADDEL-SDC-MW,Madrid Deluxe slim domical cover in Matt White.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,9.15,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SDC-MW.JPG,
MADDEL-SDC-P,Madrid Deluxe slim domical cover in Polished.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,7,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SDC-P.JPG,
MADDEL-SDC-S,Madrid Deluxe slim domical cover in Satin.,Spigots 15mm Glass,Spigots,Base Plated,,,,,,,,7,balustrade-glass-spigots-15mm-base-plated,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-SDC-S.JPG,
MADDEL-DR-B,Madrid Deluxe dress ring in Matt Black — dress ring for the Madrid Deluxe spigot range (heavier-duty than standard Madrid).,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,7.45,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-DR-B.JPG,
MADDEL-DR-MW,Madrid Deluxe dress ring in Matt White — dress ring for the Madrid Deluxe spigot range (heavier-duty than standard Madrid).,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,8.4,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-DR-MW.JPG,
MADDEL-DR-P,Madrid Deluxe dress ring in Polished — dress ring for the Madrid Deluxe spigot range (heavier-duty than standard Madrid).,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,6.4,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-DR-P.JPG,
MADDEL-DR-S,Madrid Deluxe dress ring in Satin — dress ring for the Madrid Deluxe spigot range (heavier-duty than standard Madrid).,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,6.4,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-DR-S.JPG,
MADDEL-S-B,Madrid Deluxe core-drill spigot in Matt Black — SS2205 heavy-duty in-ground balustrade spigot.,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,96.86,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-S-B.JPG,
MADDEL-S-MW,Madrid Deluxe core-drill spigot in Matt White — SS2205 heavy-duty in-ground balustrade spigot.,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,101.6,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-S-MW.JPG,
MADDEL-S-P,Madrid Deluxe core-drill spigot in Polished — SS2205 heavy-duty in-ground balustrade spigot.,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,84.45,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-S-P.JPG,
MADDEL-S-S,Madrid Deluxe core-drill spigot in Satin — SS2205 heavy-duty in-ground balustrade spigot.,Spigots 15mm Glass,Spigots,Core Drilled,,,,,,,,84.45,balustrade-glass-spigots-15mm-core-drilled,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/MADDEL-S-S.JPG,
CSK-050,50mm COUNTER SUNK BATTEN SCREW,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,FALSE,,,,0.72,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/CSK-050.JPG,"50x50 posts are missing from style for corners and gates, also side mounted posts are missing"
CSK-075,75mm COUNTER SUNK BATTEN SCREW,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,FALSE,,,,0.85,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-075.JPG,
CSK-100-4PK,100mm COUNTER SUNK SCREW - 4 PACK,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,TRUE,timber fixing base plated,,,9.96,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/csk-100-4pk.JPG,
DB-PH3,AIRE Phillips #3 driver bit; suits a variety of Phillips-head screws used in AIRE balustrade installation.,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,2.85,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-PH3.JPG,
DB-SQ3.4,AIRE square-head driver bit (SQ3.4); suits the square-drive panhead and picket screws used in AIRE balustrade installation.,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,3.6,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/DB-SQ3.4.JPG,
GS-DN-4PK,M12 DOME NUT with WASHER - SS316 - 4pk,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,3.15,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk.JPG,
GS-DN-4PK-B,M12 DOME NUT with WASHER - BLACK - 4pk,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,6.11,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs-dn-4pk-b.JPG,
GS093LAG,93mm LAG Screw - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,3.55,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs093lag.JPG,
GS1000ROD,1000mm THREADED ROD - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,16.9,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs1000rod.JPG,
GS115LAG,115mm LAG Screw - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,3.7,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs115lag.JPG,
GS120ROD,120mm TREADED ROD - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,1.85,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs120rod.JPG,
GS125LAG,125mm LAG Screw - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,,,,3.55,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GS125LAG.JPG,
GS150ROD,150mm TREADED ROD - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,Concrete Fixing,,,2.15,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/gs150rod.JPG,
GS160LAG,160mm LAG Screw - M12,Spigots 15mm Glass,Fixings & Grout,Fixings,,,,,Timber Fixing,,,6,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/GS160LAG.JPG,
S-110LAG-4PK,"M10 x 110mm timber lag screws in SS316, 4-pack with nuts and washers — fixing for Premium Perf base-plated posts to timber substrates.",Spigots 15mm Glass,Fixings & Grout,Fixings,,,,TRUE,"Side mount post for timber
Side mount post for concrete
pair with side mount post fixings 4x per 4 pack",,,13.9,balustrade-glass-spigots-15mm-fixings-and-grout-fixings,https://barrierhub-storefront-git-main-terrilljjs-projects.vercel.app/products/S-110LAG-4PK.JPG,
