fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,sku_prefix,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_count,lookup_rule
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,true,true,1,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,true,true,2,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,true,true,3,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,true,true,4,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,true,true,5,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,true,false,6,,,
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,,12mm,"12mm,15mm",true,true,7,GP,36,width_match
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,GP,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,true,true,8,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,true,true,1,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,true,true,2,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,true,true,3,,,
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,RP,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,true,true,4,,,
