fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,12mm,12mm,"12mm,15mm",TRUE,TRUE,7,GP,GP-12-1200,GP-12-1200-SS,Glass Panel 12mm 1200W Satin Spigots,425.00,width_match
glass-pool-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-1200,Standard 1200mm,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,TRUE,TRUE,8,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,12mm,12mm,"12mm,15mm",TRUE,TRUE,7,RP,RP-12-1200,RP-12-1200-SS,Raked Panel 12mm 1200W Satin Spigots,495.00,width_match
glass-pool-spigots,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,TRUE,TRUE,8,,,,,,,none
glass-pool-spigots,hardware,Spigot Hardware,2,spigots,Spigots,1,spigot-config,Spigot Configuration,spigot-hardware,select,Spigot Finish,Select spigot finish,,,,Satin,Satin,"Polished,Satin,Black",TRUE,TRUE,1,SP,SP-SATIN,SP-316-SAT,Spigot 316 Stainless Satin,42.00,exact_match
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,gate-enabled,boolean,Enable Gate,Add a gate to this section,,,,,FALSE,,TRUE,FALSE,1,,,,,,,none
glass-pool-spigots,gates,Gate Hardware,3,soft,Soft Brand,1,soft-hinge-panels,Soft Hinge Panels,gate-width,number,Gate Width,Width of gate panel,mm,600,1200,50,900,,TRUE,FALSE,2,,,,,,,none
