fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,10mm,10mm,"10mm,12mm",TRUE,TRUE,7,GPC,GPC-10-1200,GPC-10-1200,Glass Panel Channel 10mm 1200W,385.00,width_match
glass-pool-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,TRUE,TRUE,8,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,10mm,10mm,"10mm,12mm",TRUE,TRUE,7,RPC,RPC-10-1200,RPC-10-1200,Raked Panel Channel 10mm 1200W,455.00,width_match
glass-pool-channel,panels,Glass Panels,1,raked,Raked Panels,2,raked-panels,Raked Panels,panel-height,number,Panel Height,Glass panel height,mm,1200,1500,50,1200,,TRUE,TRUE,8,,,,,,,none
glass-pool-channel,hardware,Channel Hardware,2,channel,Aluminium Channel,1,channel-config,Channel Configuration,channel-hardware,select,Channel Finish,Select channel finish,,,,Mill Finish,Mill Finish,"Mill Finish,Powder Coat Black,Powder Coat White",TRUE,TRUE,1,CH,CH-MILL,CH-ALU-MILL,Aluminium Channel Mill Finish,65.00,exact_match
