fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,2400,,TRUE,TRUE,5,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,panel-height,select,Panel Height,Select panel height,,,,1200mm,1200mm,"1000mm,1200mm,1800mm",TRUE,TRUE,7,BLADE,BLADE-1200-SB,BLADE-1200-SB,Blade Panel 1200H Satin Black,315.00,exact_match
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,finish,select,Panel Finish,Select panel finish,,,,Satin Black,Satin Black,"Satin Black,Pearl White",TRUE,TRUE,8,,,,,,,none
alu-pool-blade,panels,Panels,1,blade,Blade Panels,1,blade-panels,Blade Panels,layout-mode,select,Layout Mode,Panel layout strategy,,,,full-panels-cut-end,full-panels-cut-end,"full-panels-cut-end,equally-spaced",TRUE,TRUE,9,,,,,,,none
alu-pool-blade,hardware,Posts,2,posts,Post Hardware,1,post-config,Post Configuration,post-type,select,Post Type,Select post type,,,,intermediate,intermediate,"start,end,intermediate",TRUE,TRUE,1,BLADEPOST,BLADEPOST-INTER,BLADEPOST-INTER-SB,Blade Post Intermediate Satin Black,145.00,exact_match
