fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,12mm,12mm,"12mm,15mm",TRUE,TRUE,7,BGP,BGP-12-1000,BGP-12-1000-SS,Balustrade Glass Panel 12mm 1000W Satin Spigots,375.00,width_match
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,panel-height,number,Panel Height,Glass panel height,mm,900,1200,50,1000,,TRUE,TRUE,8,,,,,,,none
glass-bal-spigots,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,top-rail,boolean,Top Rail,Add top rail to balustrade,,,,,FALSE,,TRUE,FALSE,9,,,,,,,none
glass-bal-spigots,hardware,Spigot Hardware,2,spigots,Spigots,1,spigot-config,Spigot Configuration,spigot-hardware,select,Spigot Finish,Select spigot finish,,,,Satin,Satin,"Polished,Satin,Black",TRUE,TRUE,1,BSP,BSP-SATIN,BSP-316-SAT,Balustrade Spigot 316 Stainless Satin,38.00,exact_match
glass-bal-spigots,hardware,Top Rail,3,top-rail,Top Rail,1,top-rail-config,Top Rail Configuration,top-rail-finish,select,Rail Finish,Select top rail finish,,,,Satin,Satin,"Polished,Satin,Black",TRUE,FALSE,1,TR,TR-SATIN,TR-50-SAT,Top Rail 50mm Satin Stainless,85.00,exact_match
