fence_style_id,section_id,section_label,section_order,variant_group_id,variant_group_label,variant_group_order,variant_id,variant_label,field_name,field_type,label,tooltip,unit,min,max,step,default_value,options,enabled,required,position,slot_prefix,slot_id,product_sku,product_description,product_price,lookup_rule
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,section-length,number,Section Length,Total length of fence section,mm,500,10000,50,3000,,TRUE,TRUE,1,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,left-gap,number,Left End Gap,Gap at left end of section,mm,0,150,5,50,,TRUE,TRUE,2,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,right-gap,number,Right End Gap,Gap at right end of section,mm,0,150,5,50,,TRUE,TRUE,3,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,desired-gap,number,Panel Gap,Desired gap between panels,mm,30,99,5,50,,TRUE,TRUE,4,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,max-panel-width,number,Max Panel Width,Maximum panel width constraint,mm,500,2000,50,1200,,TRUE,TRUE,5,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,min-panel-width,number,Min Panel Width,Minimum panel width constraint,mm,200,1000,50,250,,TRUE,FALSE,6,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,glass-thickness,select,Glass Thickness,Select glass panel thickness,,,,10mm,10mm,"10mm,12mm",TRUE,TRUE,7,BGPC,BGPC-10-1000,BGPC-10-1000,Balustrade Glass Panel Channel 10mm 1000W,345.00,width_match
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,panel-height,number,Panel Height,Glass panel height,mm,900,1200,50,1000,,TRUE,TRUE,8,,,,,,,none
glass-bal-channel,panels,Glass Panels,1,standard,Standard Panels,1,standard-panels,Standard Panels,top-rail,boolean,Top Rail,Add top rail to balustrade,,,,,FALSE,,TRUE,FALSE,9,,,,,,,none
glass-bal-channel,hardware,Channel Hardware,2,channel,Aluminium Channel,1,channel-config,Channel Configuration,channel-hardware,select,Channel Finish,Select channel finish,,,,Mill Finish,Mill Finish,"Mill Finish,Powder Coat Black,Powder Coat White",TRUE,TRUE,1,BCH,BCH-MILL,BCH-ALU-MILL,Balustrade Channel Mill Finish,58.00,exact_match
glass-bal-channel,hardware,Top Rail,3,top-rail,Top Rail,1,top-rail-config,Top Rail Configuration,top-rail-finish,select,Rail Finish,Select top rail finish,,,,Satin,Satin,"Polished,Satin,Black",TRUE,FALSE,1,TR,TR-SATIN,TR-50-SAT,Top Rail 50mm Satin Stainless,85.00,exact_match
